transcript_id,SRR13953391,SRR13953392,SRR13953401,SRR13953402
ENST00000620528,15,0,0,0
ENST00000617716,0,0,0,0
ENST00000623928,3,0,0,0
ENST00000464664,2717,1925,2390,2359
ENST00000688828,0,4,10,0
ENST00000688458,0,0,0,0
ENST00000692898,0,0,0,0
ENST00000689306,0,0,0,0
ENST00000692318,0,0,0,0
ENST00000624576,0,0,0,0
ENST00000623738,0,0,0,0
ENST00000701070,0,0,0,0
ENST00000623989,0,0,0,0
ENST00000701260,0,0,0,0
ENST00000692046,0,0,0,0
ENST00000692237,0,0,0,0
ENST00000689354,0,0,0,0
ENST00000624165,0,0,0,0
ENST00000624847,0,0,0,0
ENST00000623678,0,0,0,0
ENST00000624153,12,26,25,28
ENST00000623047,0,0,0,0
ENST00000623106,0,0,0,0
ENST00000625185,0,0,0,0
ENST00000624846,0,0,0,0
ENST00000623313,0,0,0,0
ENST00000623950,0,0,0,0
ENST00000624965,0,0,0,0
ENST00000623225,0,0,0,0
ENST00000623324,0,0,0,0
ENST00000624181,0,0,0,0
ENST00000610664,0,0,0,0
ENST00000619537,0,0,0,0
ENST00000619874,0,0,0,0
ENST00000624906,47,35,30,36
ENST00000629969,73,66,26,81
ENST00000610460,1,2,0,3
ENST00000623664,0,0,0,0
ENST00000616420,0,0,0,0
ENST00000610482,0,0,0,0
ENST00000615959,0,0,0,0
ENST00000614492,0,0,0,0
ENST00000631211,96,67,45,89
ENST00000612463,1,0,0,1
ENST00000623860,0,0,0,0
ENST00000651813,0,0,0,0
ENST00000651958,0,0,0,0
ENST00000652379,0,0,0,0
ENST00000622482,0,0,0,0
ENST00000612139,0,0,0,0
ENST00000650962,0,0,0,0
ENST00000652246,0,0,0,0
ENST00000652151,0,0,0,0
ENST00000652229,0,0,0,0
ENST00000617390,0,0,0,0
ENST00000619112,0,0,0,0
ENST00000625598,69,50,53,73
ENST00000613359,1,0,0,1
ENST00000627981,77,59,52,75
ENST00000619471,1,2,0,2
ENST00000690061,0,0,0,0
ENST00000689141,0,0,0,0
ENST00000688310,0,0,0,0
ENST00000687537,0,0,0,0
ENST00000687888,0,0,0,0
ENST00000701380,0,0,0,0
ENST00000416067,0,0,0,0
ENST00000690096,0,0,0,0
ENST00000700906,0,0,0,0
ENST00000701285,0,0,0,0
ENST00000684989,0,0,0,0
ENST00000701131,0,0,0,0
ENST00000690389,0,0,0,0
ENST00000685532,0,0,0,0
ENST00000691190,0,0,0,0
ENST00000701362,0,0,0,0
ENST00000688451,0,0,0,0
ENST00000701568,0,0,0,0
ENST00000685666,0,0,0,0
ENST00000700801,0,0,0,0
ENST00000692383,0,0,0,0
ENST00000693307,0,0,0,0
ENST00000690713,0,0,0,0
ENST00000687488,0,0,0,0
ENST00000701535,0,0,0,0
ENST00000700816,0,0,0,0
ENST00000700896,0,0,0,0
ENST00000559466,0,0,0,0
ENST00000691834,0,0,0,0
ENST00000701235,0,0,0,0
ENST00000624968,0,0,0,0
ENST00000700865,0,0,0,0
ENST00000623217,0,0,0,3
ENST00000651618,0,0,0,0
ENST00000624736,1,1,2,0
ENST00000622961,0,0,0,0
ENST00000701076,0,0,0,0
ENST00000691955,0,0,0,0
ENST00000686553,0,0,0,0
ENST00000700846,0,0,0,0
ENST00000622995,0,0,0,0
ENST00000701055,0,0,0,0
ENST00000692626,0,0,0,0
ENST00000624052,0,0,0,0
ENST00000685951,0,0,0,0
ENST00000690951,0,0,0,0
ENST00000623409,0,0,0,0
ENST00000686510,0,0,0,0
ENST00000701280,0,0,0,0
ENST00000692884,0,0,0,0
ENST00000669409,0,0,0,0
ENST00000624162,0,0,0,0
ENST00000624821,0,0,2,0
ENST00000624041,0,0,0,0
ENST00000625153,2,1,0,1
ENST00000622592,0,0,0,0
ENST00000616952,0,0,0,0
ENST00000667012,0,0,0,0
ENST00000613970,1709,2035,2379,1452
ENST00000614260,0,0,0,0
ENST00000620684,0,0,0,0
ENST00000652368,1,2,2,2
ENST00000604687,0,0,0,0
ENST00000624662,0,0,0,0
ENST00000625012,2,0,0,0
ENST00000457565,0,0,0,0
ENST00000427301,0,0,0,0
ENST00000332473,0,0,0,0
ENST00000447861,0,0,0,0
ENST00000435744,0,0,0,0
ENST00000507941,0,0,0,0
ENST00000471407,0,0,0,0
ENST00000384369,0,0,0,0
ENST00000398098,2,0,0,0
ENST00000311003,4,1,2,0
ENST00000443486,19,24,22,9
ENST00000433312,12,11,18,11
ENST00000660298,0,0,0,0
ENST00000664515,0,0,0,0
ENST00000671654,0,0,0,0
ENST00000431829,0,0,0,0
ENST00000427446,0,0,0,0
ENST00000444901,204,130,235,78
ENST00000474011,0,0,0,0
ENST00000470054,0,0,0,0
ENST00000496773,0,0,0,0
ENST00000612267,0,0,0,0
ENST00000622113,0,0,0,0
ENST00000612957,0,0,0,0
ENST00000427445,0,0,0,0
ENST00000612746,0,0,0,0
ENST00000618007,0,0,0,0
ENST00000616920,7,11,7,7
ENST00000450880,0,0,0,0
ENST00000428301,0,0,0,0
ENST00000420685,0,0,0,0
ENST00000436765,0,0,0,0
ENST00000442192,0,0,0,0
ENST00000366423,0,0,0,0
ENST00000428576,0,0,0,0
ENST00000432875,0,0,0,0
ENST00000429521,0,0,0,0
ENST00000344693,0,0,0,0
ENST00000411355,0,0,0,0
ENST00000451663,20,5,19,15
ENST00000653756,0,0,0,0
ENST00000448463,0,0,0,0
ENST00000690295,0,0,0,0
ENST00000428809,0,0,0,0
ENST00000432621,0,0,0,0
ENST00000359341,0,0,0,0
ENST00000364942,0,0,0,0
ENST00000613590,0,0,0,0
ENST00000344577,0,0,0,0
ENST00000681601,0,0,0,0
ENST00000400211,0,0,0,0
ENST00000679868,0,0,0,0
ENST00000680487,0,0,0,0
ENST00000536861,0,0,0,0
ENST00000614229,0,0,0,0
ENST00000680801,0,0,0,0
ENST00000433806,0,0,0,0
ENST00000400583,4984,5868,6943,3937
ENST00000400566,0,0,0,0
ENST00000400564,0,0,0,0
ENST00000644288,0,0,0,0
ENST00000647101,0,0,0,0
ENST00000619120,0,0,0,0
ENST00000285670,0,0,0,0
ENST00000463807,0,0,0,0
ENST00000493640,0,0,0,0
ENST00000449214,0,0,0,0
ENST00000435732,0,0,0,0
ENST00000400562,0,0,0,0
ENST00000467280,0,0,0,0
ENST00000469393,0,0,0,0
ENST00000700842,0,0,0,0
ENST00000673788,0,0,0,0
ENST00000660772,0,0,0,0
ENST00000660333,0,0,0,0
ENST00000688014,0,0,0,0
ENST00000665066,0,0,0,0
ENST00000670675,0,0,0,0
ENST00000674136,0,0,0,0
ENST00000454128,0,0,0,0
ENST00000654377,0,0,0,0
ENST00000455253,0,0,0,0
ENST00000658213,0,0,0,0
ENST00000655631,0,0,0,0
ENST00000661285,0,0,0,0
ENST00000435315,0,0,0,0
ENST00000685873,0,0,0,0
ENST00000453699,170,206,226,154
ENST00000429114,0,0,0,0
ENST00000482980,0,0,0,0
ENST00000701466,0,0,0,0
ENST00000690887,0,0,0,0
ENST00000467409,0,0,0,0
ENST00000692080,0,0,0,0
ENST00000690235,0,0,0,0
ENST00000481582,0,0,0,0
ENST00000685452,0,0,0,0
ENST00000689702,0,0,0,0
ENST00000691950,0,0,0,0
ENST00000701605,0,0,0,0
ENST00000471902,0,0,0,0
ENST00000701596,0,0,0,0
ENST00000688378,0,0,0,0
ENST00000690439,0,0,0,0
ENST00000701540,0,0,0,0
ENST00000701615,0,0,0,0
ENST00000688334,0,0,0,0
ENST00000463099,0,0,0,0
ENST00000285667,0,0,0,0
ENST00000478035,0,0,0,0
ENST00000674143,0,0,0,0
ENST00000432230,0,0,0,0
ENST00000630354,0,0,0,0
ENST00000593619,0,0,0,0
ENST00000627623,0,0,0,0
ENST00000630211,0,0,1,0
ENST00000625278,0,0,0,0
ENST00000454795,0,0,0,0
ENST00000412426,0,0,0,0
ENST00000418954,0,0,0,0
ENST00000430391,0,0,0,0
ENST00000400199,0,0,0,0
ENST00000400202,0,0,0,0
ENST00000446301,0,0,0,0
ENST00000411932,0,0,0,0
ENST00000638122,0,0,0,0
ENST00000436429,0,0,0,0
ENST00000637963,0,0,0,0
ENST00000637630,0,0,0,0
ENST00000623352,0,0,0,0
ENST00000318948,8,10,6,5
ENST00000400183,0,0,0,0
ENST00000285679,0,0,0,0
ENST00000351097,0,0,0,0
ENST00000285681,0,0,0,0
ENST00000433427,0,0,0,0
ENST00000547201,0,0,0,0
ENST00000549362,0,0,0,0
ENST00000464435,0,0,0,0
ENST00000453553,0,0,0,0
ENST00000449491,0,0,0,0
ENST00000478932,0,0,0,0
ENST00000444868,0,0,0,0
ENST00000664748,0,0,0,0
ENST00000658863,0,0,0,0
ENST00000666351,0,0,0,0
ENST00000656127,0,0,0,0
ENST00000634642,0,0,0,0
ENST00000634644,0,0,0,0
ENST00000634708,0,0,0,0
ENST00000635621,0,0,0,0
ENST00000635225,0,0,0,0
ENST00000449602,0,0,0,0
ENST00000654045,0,0,0,0
ENST00000662630,0,0,0,0
ENST00000700903,0,0,0,0
ENST00000700871,0,0,0,0
ENST00000634659,0,0,0,0
ENST00000670882,0,0,0,0
ENST00000653886,0,0,0,0
ENST00000658320,0,0,0,0
ENST00000450823,0,0,0,0
ENST00000433588,0,0,0,0
ENST00000659443,0,0,0,0
ENST00000635525,0,0,0,0
ENST00000669763,0,0,0,0
ENST00000657904,0,0,0,0
ENST00000660967,0,0,0,0
ENST00000655203,0,0,0,0
ENST00000701516,0,0,0,0
ENST00000634853,0,0,0,0
ENST00000635684,0,0,0,0
ENST00000701179,0,0,0,0
ENST00000391262,0,0,0,0
ENST00000440664,0,0,0,0
ENST00000613691,0,0,0,0
ENST00000583100,8,5,10,6
ENST00000445481,156,120,118,129
ENST00000400166,0,0,0,0
ENST00000356275,0,0,0,0
ENST00000400165,0,0,0,0
ENST00000400169,0,0,0,0
ENST00000363884,0,0,0,0
ENST00000363092,0,0,0,0
ENST00000284878,5,0,0,0
ENST00000413813,32,25,36,30
ENST00000430815,0,0,0,0
ENST00000430401,0,0,0,0
ENST00000439392,0,0,0,0
ENST00000284881,0,0,0,0
ENST00000400559,0,0,0,0
ENST00000400558,0,0,0,0
ENST00000428689,0,0,0,0
ENST00000405964,0,0,0,0
ENST00000493464,0,0,0,0
ENST00000454737,0,0,0,0
ENST00000482915,0,0,0,0
ENST00000635845,0,0,0,0
ENST00000701447,0,0,0,0
ENST00000701389,0,0,0,0
ENST00000698000,0,0,0,0
ENST00000653129,0,0,0,0
ENST00000697817,0,0,0,0
ENST00000701019,0,0,0,0
ENST00000686312,0,0,0,0
ENST00000658708,0,0,0,0
ENST00000697818,0,0,0,0
ENST00000697819,0,0,0,0
ENST00000666465,0,0,0,0
ENST00000697969,0,0,0,0
ENST00000664579,0,0,0,0
ENST00000697970,0,0,0,0
ENST00000697971,0,0,0,0
ENST00000697933,0,0,0,0
ENST00000698161,0,0,0,0
ENST00000653624,0,0,0,0
ENST00000667199,0,0,0,0
ENST00000667485,0,0,0,0
ENST00000697972,0,0,0,0
ENST00000516464,0,0,0,0
ENST00000697973,0,0,0,0
ENST00000657177,0,0,0,0
ENST00000697974,0,0,0,0
ENST00000697975,0,0,0,0
ENST00000670888,0,0,0,0
ENST00000663661,0,0,0,0
ENST00000697976,0,0,0,0
ENST00000697977,0,0,0,0
ENST00000698049,0,0,0,0
ENST00000697978,0,0,0,0
ENST00000663776,0,0,0,0
ENST00000697870,0,0,0,0
ENST00000660908,0,0,0,0
ENST00000653809,0,0,0,0
ENST00000653669,0,0,0,0
ENST00000602935,0,0,0,0
ENST00000602580,0,0,0,0
ENST00000656690,0,0,0,0
ENST00000698050,0,0,0,0
ENST00000698162,0,0,0,0
ENST00000698051,0,0,0,0
ENST00000666517,0,0,0,0
ENST00000655524,0,0,0,0
ENST00000658518,0,0,0,0
ENST00000667152,0,0,0,0
ENST00000671280,0,0,0,0
ENST00000667869,0,0,0,0
ENST00000658644,0,0,0,0
ENST00000656642,0,0,0,0
ENST00000663510,0,0,0,0
ENST00000698163,0,0,0,0
ENST00000701495,0,0,0,0
ENST00000698109,0,0,0,0
ENST00000701157,0,0,0,0
ENST00000693158,0,0,0,0
ENST00000701373,0,0,0,0
ENST00000669537,0,0,0,0
ENST00000658075,0,0,0,0
ENST00000698052,0,0,0,0
ENST00000660532,0,0,0,0
ENST00000661987,0,0,0,0
ENST00000697871,0,0,0,0
ENST00000667804,0,0,0,0
ENST00000698121,0,0,0,0
ENST00000698110,0,0,0,0
ENST00000654560,0,0,0,0
ENST00000670003,0,0,0,0
ENST00000697934,0,0,0,0
ENST00000697935,0,0,0,0
ENST00000400178,0,0,0,0
ENST00000663095,0,0,0,0
ENST00000698164,0,0,0,0
ENST00000456342,0,0,0,0
ENST00000697853,0,0,0,0
ENST00000657408,0,0,0,0
ENST00000670446,0,0,0,0
ENST00000661148,0,0,0,0
ENST00000671666,0,0,0,0
ENST00000666636,0,0,0,0
ENST00000697820,0,0,0,0
ENST00000697979,0,0,0,0
ENST00000418544,0,0,0,0
ENST00000697872,0,0,0,0
ENST00000697936,0,0,0,0
ENST00000697937,0,0,0,0
ENST00000698061,0,0,0,0
ENST00000697938,0,0,0,0
ENST00000666794,0,0,0,0
ENST00000698062,0,0,0,0
ENST00000698063,0,0,0,0
ENST00000656817,0,0,0,0
ENST00000697939,0,0,0,0
ENST00000697821,0,0,0,0
ENST00000697980,0,0,0,0
ENST00000697873,0,0,0,0
ENST00000697940,0,0,0,0
ENST00000697941,0,0,0,0
ENST00000667703,0,0,0,0
ENST00000698064,0,0,0,0
ENST00000698065,0,0,0,0
ENST00000697942,0,0,0,0
ENST00000698066,0,0,0,0
ENST00000697981,0,0,0,0
ENST00000668571,0,0,0,0
ENST00000697982,0,0,0,0
ENST00000670045,0,0,0,0
ENST00000655848,0,0,0,0
ENST00000663968,0,0,0,0
ENST00000669276,0,0,0,0
ENST00000658724,0,0,0,0
ENST00000654997,0,0,0,0
ENST00000657710,0,0,0,0
ENST00000655197,0,0,0,0
ENST00000657060,0,0,0,0
ENST00000670980,0,0,0,0
ENST00000445461,0,0,0,0
ENST00000697943,0,0,0,0
ENST00000662969,0,0,0,0
ENST00000698093,0,0,0,0
ENST00000697874,0,0,0,0
ENST00000697944,0,0,0,0
ENST00000657745,0,0,0,0
ENST00000666994,0,0,0,0
ENST00000698111,0,0,0,0
ENST00000671437,0,0,0,0
ENST00000666701,0,0,0,0
ENST00000654176,0,0,0,0
ENST00000697983,0,0,3,0
ENST00000697825,0,0,0,0
ENST00000665555,0,0,0,0
ENST00000413645,0,0,0,0
ENST00000602505,0,0,0,0
ENST00000656619,0,0,0,0
ENST00000698001,0,0,0,0
ENST00000665243,0,0,0,0
ENST00000698122,0,0,2,0
ENST00000697945,0,0,0,0
ENST00000697822,0,0,0,0
ENST00000655866,0,0,0,0
ENST00000660455,0,0,0,0
ENST00000652811,0,0,0,0
ENST00000698123,0,0,0,0
ENST00000698165,0,0,0,0
ENST00000665282,0,0,0,0
ENST00000428669,0,0,0,0
ENST00000697946,0,0,0,0
ENST00000661403,0,0,0,0
ENST00000661771,0,0,0,0
ENST00000662622,0,0,0,0
ENST00000697947,0,0,0,0
ENST00000698094,0,0,0,0
ENST00000658514,0,0,0,0
ENST00000697948,0,0,0,0
ENST00000697875,0,0,0,0
ENST00000661418,0,0,0,0
ENST00000698067,0,0,0,0
ENST00000697949,0,0,0,0
ENST00000668889,0,0,0,0
ENST00000697876,0,0,0,0
ENST00000697984,0,0,0,0
ENST00000697985,0,0,0,0
ENST00000698068,0,0,0,0
ENST00000697986,0,0,0,0
ENST00000671058,0,0,0,0
ENST00000602901,0,0,0,0
ENST00000697877,0,0,0,0
ENST00000364155,0,0,0,0
ENST00000652633,0,0,0,0
ENST00000697950,0,0,0,0
ENST00000688671,0,0,0,0
ENST00000697823,0,0,0,0
ENST00000697824,0,0,0,0
ENST00000698124,0,0,0,0
ENST00000698166,0,0,0,0
ENST00000602339,0,0,0,0
ENST00000698002,0,0,0,0
ENST00000666860,0,0,0,0
ENST00000670108,0,0,0,0
ENST00000698003,0,0,0,0
ENST00000697951,0,0,0,0
ENST00000602454,0,0,0,0
ENST00000697878,0,0,0,0
ENST00000664445,0,0,0,0
ENST00000435697,0,0,0,0
ENST00000698004,0,0,0,0
ENST00000658389,0,0,0,0
ENST00000602892,0,0,0,0
ENST00000663412,0,0,0,0
ENST00000667011,0,0,0,0
ENST00000665779,0,0,0,0
ENST00000659105,0,0,0,0
ENST00000697879,0,0,0,0
ENST00000662279,0,0,0,0
ENST00000453910,0,0,0,0
ENST00000664319,0,0,0,0
ENST00000660213,0,0,0,0
ENST00000669307,0,0,0,0
ENST00000657977,0,0,0,0
ENST00000660287,0,0,0,0
ENST00000664910,0,0,0,0
ENST00000418813,0,0,0,0
ENST00000663516,0,0,0,0
ENST00000662647,0,0,0,0
ENST00000697880,0,0,0,0
ENST00000671218,0,0,0,0
ENST00000697952,0,0,0,0
ENST00000665230,0,0,0,0
ENST00000665189,0,0,0,0
ENST00000667313,0,0,0,0
ENST00000667374,0,0,0,0
ENST00000698125,0,0,0,0
ENST00000658826,0,0,0,0
ENST00000659192,0,0,0,0
ENST00000664030,0,0,0,0
ENST00000652938,0,0,0,0
ENST00000664485,0,0,0,0
ENST00000698167,0,0,0,0
ENST00000697826,0,0,0,0
ENST00000697827,0,0,0,0
ENST00000663933,0,0,0,0
ENST00000670290,0,0,0,0
ENST00000668830,0,0,0,0
ENST00000667401,0,0,0,0
ENST00000697828,0,0,0,0
ENST00000698005,0,0,0,0
ENST00000698095,0,0,0,0
ENST00000602620,0,0,0,0
ENST00000659209,0,0,0,0
ENST00000657520,0,0,0,0
ENST00000661484,0,0,0,0
ENST00000698168,0,0,0,0
ENST00000624971,0,0,0,0
ENST00000697854,0,0,0,0
ENST00000698007,0,0,0,0
ENST00000654245,0,0,0,0
ENST00000665504,0,0,0,0
ENST00000441820,0,0,0,0
ENST00000384906,0,0,0,0
ENST00000362160,0,0,0,0
ENST00000602654,0,0,0,0
ENST00000659483,0,0,0,0
ENST00000698096,0,0,0,0
ENST00000661939,0,0,0,0
ENST00000660035,0,0,0,0
ENST00000697855,0,0,0,0
ENST00000653518,0,0,0,0
ENST00000666704,0,0,0,0
ENST00000602323,0,0,0,0
ENST00000660609,0,0,0,0
ENST00000697856,0,0,0,0
ENST00000655790,0,0,0,0
ENST00000698126,0,0,0,0
ENST00000657239,0,0,0,0
ENST00000385128,0,0,0,0
ENST00000667777,0,0,0,0
ENST00000698127,0,0,0,0
ENST00000669034,0,0,0,0
ENST00000660794,0,0,0,0
ENST00000698008,0,0,0,0
ENST00000654360,13,10,5,6
ENST00000667533,2,1,4,3
ENST00000619222,60,55,92,51
ENST00000399358,314,425,496,195
ENST00000419952,3,0,2,0
ENST00000670538,10,3,8,8
ENST00000602921,2,2,0,0
ENST00000698006,1,1,1,2
ENST00000602659,13,16,9,20
ENST00000697857,2,2,7,10
ENST00000413933,134,117,112,50
ENST00000425091,75,62,78,40
ENST00000413190,443,435,364,247
ENST00000282964,219,192,207,126
ENST00000358455,14385,14764,21853,9495
ENST00000655781,0,0,0,0
ENST00000669643,0,0,0,0
ENST00000658406,0,0,0,0
ENST00000663293,0,0,0,0
ENST00000670578,0,0,0,0
ENST00000670894,0,0,0,0
ENST00000659277,0,0,0,0
