Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000277117	-	21	+	5022531	5036771	0.000000	0.000000	0.000000
ENSG00000275464	-	21	-	5130871	5154658	0.000000	0.000000	0.000000
ENSG00000280071	-	21	-	5116341	5128369	0.000000	0.000000	0.000000
ENSG00000274333	-	21	+	5553637	5614880	0.000000	0.000000	0.000000
ENSG00000277777	Y_RNA	21	+	5597390	5597490	0.000000	0.000000	0.000000
ENSG00000278903	-	21	+	6318378	6360415	0.000000	0.000000	0.000000
ENSG00000280145	-	21	-	6630182	6670695	0.000000	0.000000	0.000000
ENSG00000278878	-	21	-	6667304	6670667	0.000000	0.000000	0.000000
ENSG00000275895	-	21	-	6484623	6499248	0.000000	0.000000	0.000000
ENSG00000276076	-	21	+	6499203	6564489	0.000000	0.000000	0.000000
ENSG00000279998	-	21	+	6789592	6812297	0.000000	0.000000	0.000000
ENSG00000279177	CTBP2P9	21	-	7626344	7627528	2.225316	200.598085	153.503647
ENSG00000273590	-	21	+	7744951	7758630	0.000000	0.000000	0.000000
ENSG00000274559	-	21	-	5972924	5973383	384.515217	34661.601405	26524.092833
ENSG00000280330	CTBP2P10	21	+	7129103	7130287	1.740928	156.933587	120.090269
ENSG00000278996	-	21	+	8197620	8227646	0.000000	0.000000	0.000000
ENSG00000275950	MIR6724-1	21	+	8205315	8205406	0.000000	0.000000	0.000000
ENSG00000275664	-	21	+	8205851	8205940	0.000000	0.000000	0.000000
ENSG00000275708	MIR3648-1	21	+	8208473	8208652	0.000000	0.000000	0.000000
ENSG00000277437	-	21	+	8208844	8208904	0.000000	0.000000	0.000000
ENSG00000280800	-	21	-	8210384	8211306	7.208017	649.756892	497.213383
ENSG00000278233	RNA5-8SN2	21	+	8212572	8212724	0.346405	31.226208	23.895227
ENSG00000277739	5_8S_rRNA	21	+	8256781	8256933	1.124183	101.337948	77.546825
ENSG00000281383	-	21	-	8254592	8255514	6.556880	591.061032	452.297558
ENSG00000280441	-	21	+	8380643	8454792	0.000000	0.000000	0.000000
ENSG00000277379	MIR6724-3	21	+	8388362	8388453	0.000000	0.000000	0.000000
ENSG00000274868	-	21	+	8388898	8388987	0.000000	0.000000	0.000000
ENSG00000280614	-	21	-	8393419	8394341	5.895991	531.486092	406.709034
ENSG00000275215	RNA5-8SN3	21	+	8395607	8395759	0.333333	30.047850	22.993512
ENSG00000286267	-	21	+	8417757	8418235	0.000000	0.000000	0.000000
ENSG00000286146	-	21	+	8420675	8421003	0.000000	0.000000	0.000000
ENSG00000286054	-	21	+	8421883	8422116	0.000000	0.000000	0.000000
ENSG00000286178	-	21	+	8423760	8424071	0.000000	0.000000	0.000000
ENSG00000275692	MIR6724-4	21	+	8432530	8432621	0.000000	0.000000	0.000000
ENSG00000278775	-	21	+	8433085	8433174	0.000000	0.000000	0.000000
ENSG00000281181	-	21	-	8437629	8438551	6.070423	547.210027	418.741460
ENSG00000278189	RNA5-8SN1	21	+	8439823	8439975	0.503268	45.366410	34.715732
ENSG00000291050	TEKT4P2	21	-	9068325	9129773	0.000000	0.000000	0.000000
ENSG00000188681	TEKT4P2	21	-	9068414	9073609	0.000000	0.000000	0.000000
ENSG00000279720	SOWAHCP2	21	-	9082601	9083101	0.000000	0.000000	0.000000
ENSG00000279381	-	21	+	9088188	9088391	0.911765	82.189816	62.894103
ENSG00000286103	-	21	+	9634244	9679906	0.161105	14.522591	11.113121
ENSG00000275631	U1	21	+	9646825	9647000	0.000000	0.000000	0.000000
ENSG00000278932	-	21	+	9325013	9370490	0.001727	7.811397	5.977514
ENSG00000279718	SNX18P12	21	-	9364467	9365225	0.000000	0.000000	0.000000
ENSG00000279208	-	21	-	9369285	9376645	0.000000	0.000000	0.000000
ENSG00000277693	-	21	-	10328411	10342737	0.000000	0.000000	0.000000
ENSG00000275945	EIF3FP1	21	+	10330732	10331537	135.107940	12179.121543	9319.827629
ENSG00000270533	-	21	-	9975017	10119309	0.000000	0.000000	0.000000
ENSG00000280372	-	21	-	10028361	10029855	0.000000	0.000000	0.000000
ENSG00000280081	LINC01667	21	-	9781910	9838011	0.005645	3.884830	2.972788
ENSG00000279783	-	21	+	9810501	9810848	0.000000	0.000000	0.000000
ENSG00000290523	-	21	+	10413477	10491615	0.000000	0.000000	0.000000
ENSG00000187172	BAGE2	21	+	10454134	10516431	0.000000	0.000000	0.000000
ENSG00000273840	-	21	+	10482738	10605716	0.000000	0.000000	0.000000
ENSG00000274391	TPTE	21	+	10521553	10606140	0.000000	0.000000	0.000000
ENSG00000278678	CYCSP41	21	+	10576292	10576587	1.523649	137.347267	105.102232
ENSG00000228159	LINC01674	21	+	13516107	13574999	0.000000	0.000000	0.000000
ENSG00000228184	SNX19P1	21	+	13525599	13528579	1.948339	175.630370	134.397606
ENSG00000179381	OR4K11P	21	-	13544210	13545185	0.000000	0.000000	0.000000
ENSG00000273872	SLC25A15P4	21	-	10612455	10613379	0.000000	0.000000	0.000000
ENSG00000168122	ZNF355P	21	-	13095305	13113790	0.000000	0.000000	0.000000
ENSG00000224860	GXYLT1P2	21	-	13824406	13825635	0.611382	55.112199	42.173501
ENSG00000232797	FAM207CP	21	+	13792635	13793141	1.183432	106.678869	81.633857
ENSG00000290541	CYP4F29P	21	-	13843133	13848364	0.000000	0.000000	0.000000
ENSG00000228314	CYP4F29P	21	-	13846759	13847713	0.000000	0.000000	0.000000
ENSG00000215562	CNN2P7	21	+	13826696	13827627	316.768240	28554.642280	21850.865279
ENSG00000233442	PPP6R2P1	21	+	14007134	14014880	0.000000	0.000000	0.000000
ENSG00000290581	-	21	-	13909574	13935655	0.000000	0.000000	0.000000
